"idCategoria","idModalidade","designacao"
1,1,"100 metros"
2,1,"400 metros"
3,2,"100 metros"
4,2,"400 metros"
5,3,"100 metros"
6,3,"400 metros"
7,4,"100 metros"
8,4,"400 metros"
9,5,"1500 metros"
10,5,"3000 metros"
11,6,"1500 metros"
12,6,"3000 metros"
13,7,"4 x 100 metros"
14,7,"4 x 400 metros"
15,8,"4 x 100 metros"
16,8,"4 x 400 metros"
17,9,"Altura"
18,9,"Comprimento"
19,10,"Altura"
20,10,"Comprimento"
21,11,"Disco"
22,11,"Martelo"
23,11,"Dardo"
24,11,"Peso"
25,12,"Disco"
26,12,"Martelo"
27,12,"Dardo"
28,12,"Peso"
