gid,latitude,longitude,Estado de Conservacao,Tipo de Abrigo,Abrigo com Publicidade?,Operadora,Carreira,Codigo de Rua,Nome da Rua,Freguesia
730,-102764.70414054944,-102345.36371072767,Bom,Sem Abrigo,No,LT,184,1634,Estrada de Talaíde,Porto Salvo
133,-102770.03,-102362.19,Bom,Fechado dos Lados,No,LT,184,1634,Estrada de Talaíde,Porto Salvo
721,-103007.51,-102085.97,Bom,Fechado dos Lados,Yes,LT,184,1634,Estrada de Talaíde,Porto Salvo
753,-103040.03,-102067.93,Bom,Fechado dos Lados,Yes,LT,184,1634,Estrada de Talaíde,Porto Salvo
761,-103589.75,-102328.21,Bom,Sem Abrigo,No,LT,184,1651,Avenida Lopo Soares de Albergaria,Porto Salvo
760,-103595.2,-102342.08,Bom,Fechado dos Lados,No,LT,184,1651,Avenida Lopo Soares de Albergaria,Porto Salvo
759,-103754.86,-102383.62,Bom,Sem Abrigo,No,LT,184,1692,Rua Augusta,Porto Salvo
758,-103782.6,-102354.54,Bom,Fechado dos Lados,No,LT,184,1692,Rua Augusta,Porto Salvo
166,-104013.89,-102412.58,Bom,Sem Abrigo,No,LT,184,1698,Rua de São José,Porto Salvo
204,-104054.48,-102333.36,Bom,Fechado dos Lados,No,LT,184,1692,Rua Augusta,Porto Salvo
203,-104060.31,-102343.26,Bom,Sem Abrigo,No,LT,184,1692,Rua Augusta,Porto Salvo
198,-104273.72,-102318.75,Bom,Sem Abrigo,No,LT,184,695,Avenida Dom Pedro V,Porto Salvo
199,-104309.46,-102333.17,Bom,Fechado dos Lados,No,LT,184,705,Avenida Engenheiro Arantes e Oliveira,Porto Salvo
209,-104318.74,-101876.43,Bom,Aberto dos Lados,No,LT,184,705,Avenida Engenheiro Arantes e Oliveira,Porto Salvo
210,-104329.45,-101849.83,Bom,Sem Abrigo,No,LT,184,705,Avenida Engenheiro Arantes e Oliveira,Porto Salvo
207,-104333.51,-102157.13,Bom,Aberto dos Lados,No,LT,184,705,Avenida Engenheiro Arantes e Oliveira,Porto Salvo
797,-104431.06,-101723.48,Bom,Fechado dos Lados,Yes,LT,184,692,Rua Conde de Rio Maior,Porto Salvo
259,-104635.54,-100919.19,Bom,Fechado dos Lados,Yes,LT,184,685,Rua Carlos Paião,Porto Salvo
191,-104731,-101677.86,Bom,Sem Abrigo,No,LT,184,692,Rua Conde de Rio Maior,Porto Salvo
795,-104741.4,-101691.52,Bom,Fechado dos Lados,Yes,LT,184,692,Rua Conde de Rio Maior,Porto Salvo
113,-104747.63,-101297.99,Bom,Sem Abrigo,No,LT,184,703,Rua Doutor José Filipe Rodrigues,Porto Salvo
112,-104759.55,-101277.77,Bom,Sem Abrigo,No,LT,184,703,Rua Doutor José Filipe Rodrigues,Porto Salvo
114,-104842.95,-101406.66,Bom,Sem Abrigo,No,LT,184,756,Pateo das Padeiras,Porto Salvo
111,-104852.21,-101412.86,Bom,Sem Abrigo,No,LT,184,703,Rua Doutor José Filipe Rodrigues,Porto Salvo
109,-104899.42,-100859.7,Bom,Fechado dos Lados,No,LT,184,1640,Avenida Vinte e Cinco de Abril,Porto Salvo
796,-104911.86,-101688.38,Bom,Fechado dos Lados,Yes,LT,184,692,Rua Conde de Rio Maior,Porto Salvo
108,-104913.48,-100837.78,Bom,Fechado dos Lados,No,LT,184,1640,Avenida Vinte e Cinco de Abril,Porto Salvo
110,-104942.33,-101650.59,Bom,Sem Abrigo,No,LT,184,697,Avenida dos Descobrimentos,Porto Salvo
257,-105076.45,-100946.89,Bom,Sem Abrigo,No,LT,184,1640,Avenida Vinte e Cinco de Abril,Porto Salvo
258,-105092.32,-100957.4,Bom,Sem Abrigo,No,Carris,184,1640,Avenida Vinte e Cinco de Abril,Porto Salvo
276,-105287.53,-101100.79,Bom,Sem Abrigo,No,LT,184,70,Rua Actor António Pinheiro,Porto Salvo
277,-105302.37,-101111.62,Bom,Fechado dos Lados,No,LT,184,70,Rua Actor António Pinheiro,Porto Salvo
287,-105447.82,-101232.23,Bom,Fechado dos Lados,Yes,LT,184,1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
1004,-105463.93407291333,-101208.08123805858,Bom,Fechado dos Lados,Yes,LT,184,1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
290,-105761.18,-101097.27,Bom,Fechado dos Lados,Yes,LT,184,1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
279,-105866.72,-100896.59,Bom,Fechado dos Lados,Yes,LT,184,858,Rua Calvet de Magalhães,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
289,-105894.4,-101171.62,Bom,Fechado dos Lados,Yes,LT,184,1596,Rua Shegundo Galarza,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
288,-106033.78,-101107.92,Bom,Fechado dos Lados,Yes,LT,184,1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
388,-106176.2,-101085.06,Bom,Fechado dos Lados,Yes,LT,184,1540,Estrada de Paço de Arcos,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
