gid	latitude	longitude	Estado de Conservacao	Tipo de Abrigo	Abrigo com Publicidade?	Operadora	Carreira	Codigo de Rua	Nome da Rua	Freguesia
79	-107011.55	-95214.57	Bom	Fechado dos Lados	Yes	Vimeca	01	103	Rua Damião de Góis	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
593	-103777.02	-94637.67	Bom	Sem Abrigo	No	Vimeca	01	300	Avenida dos Cavaleiros	Carnaxide e Queijas
499	-103758.44	-94393.36	Bom	Fechado dos Lados	Yes	Vimeca	01	300	Avenida dos Cavaleiros	Carnaxide e Queijas
494	-106803.2	-96265.84	Bom	Sem Abrigo	No	Vimeca	01	389	Rua São João de Deus	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
480	-106757.3	-96240.22	Bom	Sem Abrigo	No	Vimeca	01	389	Rua São João de Deus	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
957	-106911.18264993647	-96261.15727273725	Bom	Sem Abrigo	No	Vimeca	01	399	Escadinhas da Fonte da Maruja	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
366	-106021.37	-96684.5	Bom	Fechado dos Lados	Yes	Vimeca	01	411	Avenida Dom Pedro V	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
365	-106016.12	-96673.87	Bom	Fechado dos Lados	Yes	Vimeca	01	411	Avenida Dom Pedro V	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
357	-105236.99	-96664.4	Bom	Fechado dos Lados	Yes	Vimeca	01	1279	Avenida Tomás Ribeiro	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
336	-105143.57	-96690.32	Bom	Fechado dos Lados	Yes	Vimeca	01	1279	Avenida Tomás Ribeiro	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
334	-105336.07	-96668.68	Bom	Fechado dos Lados	Yes	Vimeca	01	1279	Avenida Tomás Ribeiro	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
251	-104487.69	-96548.01	Bom	Fechado dos Lados	Yes	Vimeca	01	1279	Avenida Tomás Ribeiro	Carnaxide e Queijas
469	-106613.44	-96288	Bom	Fechado dos Lados	Yes	Vimeca	01	1288	Rua Rodrigo Albuquerque e Melo	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
462	-106636.23	-96302.04	Bom	Sem Abrigo	No	Vimeca	01	1288	Rua Rodrigo Albuquerque e Melo	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
